ID,State,Date,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Type_of_Junction,Type_of_Accident,Vehicle_Type,Driver_Age_Group,Num_Vehicles_Involved,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response,New_Weather_Condition,New_Road_Condition,New_Driver_Age_Group
165433,Connecticut,20/2/2024 5:46,Tuesday,19:59:02,Rainy,Muddy,0,Street,T-Junction,Run-off-road,Car,Adult,2,3,57,3.303605919,3.139351249,485.6490115,4.886202343,0.904970845,45,25.15278073,1,1,0
165434,Massachusetts,9/1/2024 5:08,Wednesday,21:28:51,Sunny,Muddy,0,Highway,Intersection,Side collision,Pedestrian,Adult,1,0,55,2.715327268,3.634593241,616.9799361,4.677592166,0.949236013,41,23.16381656,0,1,0
165435,Wyoming,20/2/2024 8:26,Thursday,18:04:26,Snowy,Snowy,0,Street,Underpass,Cyclist involved,Bicycle,Young Adult,3,1,38,4.811429201,9.631560792,838.741654,9.926058085,0.184446607,64,6.69774981,1,1,1
165436,Hawaii,15/1/2024 3:23,Sunday,16:51:02,Snowy,Icy,0,Street,Intersection,Run-off-road,Car,Senior,5,0,59,6.976968332,2.33446816,842.4410192,4.351822374,0.195811069,49,6.595035957,1,1,0
165437,Oklahoma,10/2/2024 10:17,Tuesday,14:19:19,Foggy,Icy,1,Rural,T-Junction,Run-off-road,Car,Adult,2,0,53,3.724599099,4.359619628,905.6202625,6.626861549,0.954821253,81,22.91312826,1,1,0
165438,Minnesota,23/2/2024 22:04,Monday,0:14:21,Foggy,Snowy,0,Urban,T-Junction,Head-on collision,Pedestrian,Teenager,4,2,41,6.731334572,6.917151501,550.071522,9.254612079,0.463228578,37,6.905079936,1,1,1
165439,Wyoming,19/2/2024 19:41,Saturday,10:21:34,Stormy,Icy,0,Street,Crossroads,Rollover,Pedestrian,Teenager,1,2,65,8.4317615,0.674836177,859.0380579,9.691996591,0.552159649,80,17.7715757,1,1,1
165440,Minnesota,25/1/2024 16:51,Tuesday,2:01:40,Rainy,Icy,0,Urban,Underpass,Rear-end collision,Motorcycle,Senior,4,1,68,6.056827158,9.926589521,700.9299631,4.9223123,0.524377048,0,26.81232269,1,1,0
165441,Nevada,7/1/2024 6:48,Wednesday,6:09:08,Rainy,Wet,1,Highway,Overpass,Rear-end collision,Car,Teenager,4,0,59,6.010958363,7.872237441,892.7208736,9.329544864,0.756147199,63,20.44267653,1,1,1
165442,North Dakota,1/1/2024 6:22,Tuesday,22:33:51,Sunny,Icy,0,Street,Overpass,Pedestrian involved,Pedestrian,Senior,1,3,30,4.781272277,5.136492724,934.0296202,8.650907009,0.218057947,45,7.766431756,0,1,0
165443,North Dakota,27/1/2024 6:11,Tuesday,5:49:45,Rainy,Wet,0,Highway,Roundabout,Rear-end collision,Car,Adult,1,3,50,5.563376129,7.074107661,289.2758257,8.516025528,0.801946177,95,18.22287434,1,1,0
165444,Iowa,26/1/2024 19:22,Saturday,12:48:53,Stormy,Muddy,1,Rural,Underpass,Rollover,Truck,Adult,1,1,65,3.707207076,3.038157864,915.3897184,3.443516532,0.473982673,75,15.14177075,1,1,0
165445,Rhode Island,22/2/2024 9:26,Tuesday,8:18:51,Sunny,Icy,0,Freeway,T-Junction,Rollover,Pedestrian,Adult,2,3,63,2.299371942,5.753110856,856.2633617,7.773356104,0.423325944,75,9.971629322,0,1,0
165446,Delaware,5/1/2024 13:27,Monday,21:51:12,Sunny,Icy,0,Highway,Underpass,Side collision,Car,Young Adult,1,1,61,1.257413574,9.991771342,265.1477388,NA,0.929053159,22,24.60562163,0,1,1
165447,Idaho,19/2/2024 6:07,Saturday,10:35:57,Snowy,Wet,1,Freeway,Underpass,Head-on collision,Pedestrian,Young Adult,3,3,69,5.028102823,5.763674943,382.1112097,4.272399901,0.740485894,50,20.51847352,1,1,1
165448,Florida,16/2/2024 8:59,Friday,6:23:04,Rainy,Wet,0,Urban,Underpass,Rollover,Car,Adult,4,1,61,2.720686723,4.681899736,118.9873845,4.026032578,0.517674448,51,24.53625099,1,1,0
165449,Florida,11/1/2024 22:24,Wednesday,16:26:10,Snowy,Dry,1,Highway,Overpass,Rollover,Truck,Adult,3,1,32,8.370269319,9.853947124,726.8598416,NA,0.18894111,75,29.0124922,1,0,0
165450,Minnesota,20/1/2024 14:15,Monday,2:11:27,Foggy,Snowy,1,Highway,Overpass,Side collision,Motorcycle,Adult,3,3,46,3.169704761,4.982689691,326.6355094,8.24560378,0.882952405,99,16.70851681,1,1,0
165451,Utah,9/1/2024 15:28,Saturday,17:03:03,Foggy,Wet,1,Highway,Intersection,Rollover,Bicycle,Senior,4,1,37,9.167358804,2.207262901,148.1419836,7.989173065,0.513204979,64,17.7715757,1,1,0
165452,New Hampshire,5/2/2024 7:45,Monday,13:15:15,Sunny,Dry,1,Highway,Crossroads,Run-off-road,Motorcycle,Young Adult,2,1,45,0.263493858,0.64785625,164.5983576,6.932493036,0.430518275,49,26.3617468,0,0,1
165453,Kansas,18/2/2024 2:49,Wednesday,5:13:23,Sunny,Icy,0,Rural,Intersection,Head-on collision,Bicycle,Senior,1,1,59,9.771595569,1.651302214,276.3477942,8.651859477,0.583077816,8,25.04184633,0,1,0
165454,Colorado,25/2/2024 23:02,Monday,17:30:27,Snowy,Wet,0,Street,Roundabout,Head-on collision,Car,Senior,1,0,32,3.251192118,8.335448129,661.8524522,3.238407871,0.332202448,7,14.5107723,1,1,0
165455,Maryland,22/2/2024 23:56,Thursday,16:48:46,Rainy,Wet,1,Street,Roundabout,Head-on collision,Pedestrian,Teenager,3,2,66,1.905307008,8.727369444,371.616629,5.524963144,0.960182277,42,21.93481558,1,1,1
165456,Pennsylvania,27/1/2024 18:15,Saturday,3:57:23,Rainy,Icy,0,Rural,Crossroads,Side collision,Truck,Teenager,2,3,44,2.618646532,3.172757932,243.6737077,3.206312284,0.374256027,18,19.87517707,1,1,1
165457,Oklahoma,19/2/2024 1:11,Monday,12:36:33,Stormy,Icy,1,Highway,Intersection,Rollover,Truck,Senior,3,1,50,0.917036222,9.424163063,166.2878497,4.773072087,0.860508958,99,18.58939965,1,1,0
165458,Florida,1/1/2024 9:28,Wednesday,6:53:50,Rainy,Muddy,1,Street,Underpass,Cyclist involved,Car,Adult,4,2,34,3.908675196,7.548358028,777.9679941,7.283166634,0.15159507,85,12.52776056,1,1,0
165459,California,28/2/2024 16:42,Tuesday,6:56:51,Sunny,Icy,0,Street,Overpass,Side collision,Bicycle,Young Adult,1,2,50,5.682200766,6.290416089,457.2579829,8.174180006,0.639794258,49,29.11278544,0,1,1
165460,Alabama,2/1/2024 16:47,Sunday,16:31:53,Snowy,Dry,1,Rural,Crossroads,Run-off-road,Motorcycle,Adult,1,2,48,3.81100686,4.210455457,307.6645185,7.756307287,0.293435862,43,12.01500745,1,0,0
165461,Georgia,27/2/2024 15:14,Wednesday,11:34:05,Stormy,Muddy,1,Rural,Intersection,Side collision,Bicycle,Young Adult,4,1,50,1.89621875,3.36545167,787.2267723,NA,0.86016607,83,5.473219721,1,1,1
165462,Minnesota,5/2/2024 12:47,Monday,13:47:03,Rainy,Muddy,0,Street,Roundabout,Run-off-road,Truck,Young Adult,4,1,33,3.874341808,5.908982435,769.7192713,8.480209561,0.694210971,71,9.000628722,1,1,1
165463,Idaho,7/2/2024 21:45,Monday,8:44:23,Rainy,Wet,0,Freeway,T-Junction,Pedestrian involved,Bicycle,Teenager,2,3,36,1.401499314,7.815671457,487.3809882,3.051074734,0.100261016,40,17.7715757,1,1,1
165464,New York,31/1/2024 5:06,Wednesday,20:41:12,Foggy,Snowy,1,Street,Underpass,Pedestrian involved,Pedestrian,Young Adult,2,0,50,6.948208594,4.933199326,918.8710252,8.1908829,0.811754306,42,17.7715757,1,1,1
165465,Ohio,10/2/2024 7:44,Thursday,20:04:15,Foggy,Muddy,1,Street,Intersection,Rollover,Car,Adult,1,2,67,9.416454529,3.656158451,877.5765184,NA,0.528263067,52,16.52053061,1,1,0
165466,Pennsylvania,7/2/2024 10:27,Wednesday,7:46:19,Sunny,Muddy,0,Rural,Intersection,Side collision,Bicycle,Young Adult,5,3,35,7.980434214,8.735172943,522.0302914,8.297227185,0.552662287,41,17.7715757,0,1,1
165467,Washington,11/2/2024 21:26,Friday,10:53:45,Snowy,Wet,0,Urban,Underpass,Rear-end collision,Motorcycle,Adult,4,2,50,4.895683835,7.550391775,748.6674531,4.152339565,0.370709651,76,8.576608912,1,1,0
