"id","host_days","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_cleansed","city","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","reviews_per_month"
3075044,1669,1,1,1,0,0.000999500333083423,1,"Roslindale","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.17438726989564,1,1,0,0,0.693147180559945,94,10,9,10,10,9,9,1,1,1.3
6976,2792,1,1,0,1,0.000999500333083423,1,"Roslindale","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.17438726989564,0,0,1,20,1.09861228866811,98,10,9,10,10,9,10,0,1,0.47
1436513,1351,1,1,0,0,0.000999500333083423,0,"Roslindale","Boston","House","Private room",4,1,1,2,"Real Bed",4.31748811353631,1,1,2,25,0,100,10,10,10,10,10,10,0,1,1
7651065,966,1,1,1,1,0.000999500333083423,1,"Roslindale","Boston","House","Private room",2,1.5,1,2,"Real Bed",4.36944785246702,0,1,1,0,0.693147180559945,99,10,10,10,10,9,10,0,1,2.25
12386020,284,1,1,1,1,0.693647055601596,1,"Roslindale","Boston","Condominium","Private room",2,1,1,1,"Real Bed",4.31748811353631,0,1,1,0,0.693147180559945,100,10,10,10,10,9,10,0,1,1.7
5706985,1317,1,1,1,0,1.60963789243677,1,"Roslindale","Boston","Apartment","Entire home/apt",3,1,1,2,"Real Bed",4.60517018598809,0,0,1,25,0,90,10,10,10,10,9,9,0,0,4
2843445,1610,1,1,1,1,0.693647055601596,1,"Roslindale","Boston","House","Private room",2,2,1,1,"Real Bed",4.31748811353631,0,1,1,15,0,96,10,10,10,10,10,10,0,1,2.38
753446,1530,1,1,1,1,0.000999500333083423,1,"Roslindale","Roslindale","Condominium","Private room",2,1,1,2,"Real Bed",4.06044301054642,0,0,2,0,0.693147180559945,96,10,10,10,10,9,10,0,1,5.36
849408,1475,1,1,1,1,0.693647055601596,1,"Roslindale","Boston","Apartment","Entire home/apt",5,1,2,2,"Real Bed",5.43372200355424,1,1,4,25,1.38629436111989,94,10,9,10,10,9,9,0,0,1.01
12023024,283,0,0,1,0,0.000999500333083423,0,"Roslindale","Boston","House","Private room",2,1,1,1,"Real Bed",4.0943445622221,0,1,1,10,0,80,10,8,8,10,10,10,0,1,0.36
1668313,1205,1,1,0,1,0.693647055601596,1,"Roslindale","Boston","House","Private room",1,1,1,1,"Real Bed",4.04305126783455,0,1,1,0,0,94,9,10,10,10,9,9,0,1,0.48
2684840,1007,1,1,1,0,0.693647055601596,0,"Roslindale","Boston","Condominium","Entire home/apt",4,1,2,2,"Real Bed",4.53259949315326,0,1,1,0,0,100,10,10,10,10,10,10,1,1,0.64
13547301,332,1,1,1,0,0.000999500333083423,1,"Roslindale","Boston","Apartment","Entire home/apt",5,1,2,3,"Real Bed",5.01063529409626,0,1,5,30,0.693147180559945,97,10,10,10,10,9,10,0,1,4.93
5434353,1162,0,0,1,0,0.000999500333083423,1,"Roslindale","Boston","House","Entire home/apt",2,1.5,2,2,"Real Bed",4.97673374242057,1,1,2,35,1.09861228866811,91,9,9,10,9,9,9,0,1,0.56
225979,1932,1,1,0,0,0.693647055601596,0,"Roslindale","Boston","Apartment","Private room",1,0,1,1,"Real Bed",4.0943445622221,0,0,1,0,0,96,9,10,10,10,9,10,1,0,1.16
3420384,2125,1,1,1,0,0.000999500333083423,0,"Roslindale","Boston","House","Private room",4,1,1,3,"Real Bed",5.10594547390058,0,1,3,15,1.09861228866811,100,10,10,10,10,10,10,0,1,1
13512930,1007,1,1,1,0,0.693647055601596,0,"Roslindale","Boston","Condominium","Private room",2,1,1,1,"Real Bed",4.31748811353631,0,1,1,15,0,100,10,10,10,10,10,10,1,1,0.37
7482195,582,0,1,1,1,1.09894556645823,1,"Roslindale","Boston","House","Private room",1,1,1,1,"Real Bed",3.89182029811063,0,0,1,10,1.6094379124341,91.91666667,NA,NA,NA,10,10,NA,0,0,1.970908448
7252607,582,0,1,1,1,1.09894556645823,1,"Roslindale","Boston","House","Private room",2,1,1,1,"Real Bed",3.89182029811063,0,0,1,10,1.6094379124341,95,9,10,10,10,9,10,0,0,0.29
2583074,1021,1,1,1,1,1.09894556645823,1,"Roslindale","Boston","Villa","Private room",1,2.5,1,1,"Real Bed",3.68887945411394,0,0,1,0,0.693147180559945,99,10,10,10,10,9,10,0,1,1.24
